Building 60 4-fault (1 ctx + 3 profile) travelplanner_real SYNTHETIC examples (bench_seed=42, scan_limit=8000)...
Built 60 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 travel_real_00139 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2649,1562)
  N=4 travel_real_00139 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7270,4346)
  N=4 travel_real_00139 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5298,2340)
  N=4 travel_real_00139 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5354,2179)
  N=4 travel_real_00139 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(16149,2215)
  N=4 travel_real_00139 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2649,1562)
  N=4 travel_real_00139 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7422,2485)
  N=4 travel_real_00139 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2649,1562)
  N=4 travel_real_00139 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7270,4346)
  N=4 travel_real_00139 seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5298,2532)
  N=4 travel_real_00139 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5354,2179)
