,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,4759,758,0.0
real_lme_00001_603deb26,42,,True,4838,786,0.0
real_lme_00002_51c32626,42,,True,3880,385,0.0
real_lme_00003_8550ddae,42,,True,4507,779,0.0
real_lme_00004_gpt4_2655b836,42,,True,4303,671,0.0
real_lme_00005_2698e78f_abs,42,a6,True,4343,1122,0.0
real_lme_00006_gpt4_1d80365e,42,a2,False,4882,1028,1.0
real_lme_00007_5025383b,42,,True,3644,851,0.0
real_lme_00008_gpt4_cd90e484,42,,True,3972,612,0.0
real_lme_00009_c19f7a0b,42,,True,4392,688,0.0
real_lme_00010_0a34ad58,42,a4,False,4542,757,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4277,204,0.0
real_lme_00012_d6233ab6,42,a1,False,4075,488,1.0
real_lme_00013_7024f17c,42,a2,False,4147,630,1.0
real_lme_00014_gpt4_c27434e8_abs,42,a2,True,3743,409,0.0
real_lme_00015_6456829e,42,,True,4401,810,0.0
real_lme_00016_f8c5f88b,42,,True,4409,670,0.0
real_lme_00017_ba358f49_abs,42,a0,False,4281,236,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,4533,378,0.0
real_lme_00019_gpt4_e414231f,42,,True,4617,954,0.0
real_lme_00020_2698e78f,42,a4,True,4082,877,0.0
real_lme_00021_e56a43b9,42,a0,False,4585,250,1.0
real_lme_00022_6cb6f249,42,a6,True,4348,1277,0.0
real_lme_00023_e48988bc,42,,True,3502,709,0.0
real_lme_00024_gpt4_4ef30696,42,a4,False,4541,948,1.0
real_lme_00025_gpt4_4929293b,42,a5,False,4717,1439,1.0
real_lme_00026_e6041065,42,,True,4182,866,0.0
real_lme_00027_21d02d0d,42,,True,4394,612,0.0
real_lme_00028_1f2b8d4f,42,a3,True,4404,822,0.0
real_lme_00029_a11281a2,42,a3,True,4386,783,0.0
real_lme_00030_1de5cff2,42,,True,3812,886,0.0
real_lme_00031_8ebdbe50,42,,True,3532,385,0.0
real_lme_00032_22d2cb42,42,,True,3953,386,0.0
real_lme_00033_gpt4_385a5000,42,a3,False,4297,545,1.0
real_lme_00034_95bcc1c8,42,,True,3965,340,0.0
real_lme_00035_gpt4_2312f94c,42,,True,3979,431,0.0
real_lme_00036_gpt4_468eb063,42,,True,4126,647,0.0
real_lme_00037_faba32e5,42,,True,4196,607,0.0
real_lme_00038_b86304ba,42,a3,False,3990,526,1.0
real_lme_00039_gpt4_d6585ce8,42,,True,4493,597,0.0
real_lme_00040_gpt4_0b2f1d21,42,,True,4227,852,0.0
real_lme_00041_5809eb10,42,,True,3850,273,0.0
real_lme_00042_gpt4_5501fe77,42,a4,True,4315,793,0.0
real_lme_00043_c2ac3c61,42,,True,4223,466,0.0
real_lme_00044_gpt4_ec93e27f,42,,True,4130,289,0.0
real_lme_00045_06db6396,42,,True,4094,608,0.0
real_lme_00046_dc439ea3,42,,True,4194,326,0.0
real_lme_00047_f685340e,42,a1,False,3974,432,1.0
real_lme_00048_dccbc061,42,,True,3607,284,0.0
real_lme_00049_0862e8bf_abs,42,a0,False,4368,196,1.0
real_lme_00050_0862e8bf,42,,True,4298,673,0.0
real_lme_00051_2ebe6c90,42,a4,False,4163,828,1.0
real_lme_00052_1faac195,42,,True,4073,373,0.0
real_lme_00053_21d02d0d,42,a4,False,4769,850,1.0
real_lme_00054_603deb26,42,,True,4746,1005,0.0
real_lme_00055_7e974930,42,,True,5277,1896,0.0
real_lme_00056_27016adc,42,,True,3854,683,0.0
real_lme_00057_dd2973ad,42,,True,4228,411,0.0
real_lme_00058_b320f3f8,42,,True,3646,226,0.0
real_lme_00059_2ebe6c90,42,a4,False,4563,1270,1.0
