dataset,model,baseline,is_success,bl_success,delta,ci_low,ci_high,p_raw,n,p_holm,holm_reject
truthfulqa_real,qwen-2.5-7b,direct,0.7894736842105263,0.631578947368421,0.15789473684210525,0.05263157894736842,0.2894736842105263,0.03125,38,1.0,False
truthfulqa_real,qwen-2.5-7b,react,0.7894736842105263,0.5263157894736842,0.2631578947368421,0.13157894736842105,0.39473684210526316,0.001953125,38,0.572265625,False
truthfulqa_real,qwen-2.5-7b,self_refine,0.7894736842105263,0.34210526315789475,0.4473684210526316,0.2631578947368421,0.6052631578947368,7.62939453125e-05,38,0.0235748291015625,True
truthfulqa_real,qwen-2.5-7b,reflexion,0.7894736842105263,0.6842105263157895,0.10526315789473684,0.0,0.23684210526315788,0.21875,38,1.0,False
truthfulqa_real,qwen-2.5-7b,full_regen,0.7777777777777778,0.5833333333333334,0.19444444444444445,0.08333333333333333,0.3333333333333333,0.015625,36,1.0,False
truthfulqa_real,qwen-2.5-7b,tot,0.8181818181818182,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.6363636363636364,0.125,11,1.0,False
truthfulqa_real,qwen-2.5-7b,selfcheckgpt,0.7894736842105263,0.6578947368421053,0.13157894736842105,0.02631578947368421,0.23684210526315788,0.0625,38,1.0,False
truthfulqa_real,deepseek-v3,direct,0.4166666666666667,0.3888888888888889,0.027777777777777776,0.0,0.08333333333333333,1.0,36,1.0,False
truthfulqa_real,deepseek-v3,react,0.4166666666666667,0.3333333333333333,0.08333333333333333,-0.027777777777777776,0.19444444444444445,0.375,36,1.0,False
truthfulqa_real,deepseek-v3,self_refine,0.4166666666666667,0.2222222222222222,0.19444444444444445,0.027777777777777776,0.3611111111111111,0.0654296875,36,1.0,False
truthfulqa_real,deepseek-v3,reflexion,0.4166666666666667,0.8333333333333334,-0.4166666666666667,-0.5833333333333334,-0.25,6.103515625e-05,36,0.01904296875,True
truthfulqa_real,deepseek-v3,full_regen,0.4166666666666667,0.3611111111111111,0.05555555555555555,-0.08333333333333333,0.19444444444444445,0.6875,36,1.0,False
truthfulqa_real,deepseek-v3,tot,0.4166666666666667,0.5277777777777778,-0.1111111111111111,-0.25,0.0,0.21875,36,1.0,False
truthfulqa_real,deepseek-v3,selfcheckgpt,0.4166666666666667,0.4722222222222222,-0.05555555555555555,-0.16666666666666666,0.05555555555555555,0.625,36,1.0,False
truthfulqa_real,gemini-2.5-flash,direct,0.4444444444444444,0.4166666666666667,0.027777777777777776,0.0,0.08333333333333333,1.0,36,1.0,False
truthfulqa_real,gemini-2.5-flash,react,0.4444444444444444,0.3055555555555556,0.1388888888888889,0.027777777777777776,0.25,0.0625,36,1.0,False
truthfulqa_real,gemini-2.5-flash,self_refine,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.027777777777777776,0.2222222222222222,0.125,36,1.0,False
truthfulqa_real,gemini-2.5-flash,reflexion,0.4444444444444444,0.75,-0.3055555555555556,-0.4722222222222222,-0.1388888888888889,0.00341796875,36,0.98779296875,False
truthfulqa_real,gemini-2.5-flash,full_regen,0.4444444444444444,0.3611111111111111,0.08333333333333333,-0.027777777777777776,0.19444444444444445,0.375,36,1.0,False
truthfulqa_real,gemini-2.5-flash,tot,0.4444444444444444,0.3611111111111111,0.08333333333333333,-0.027777777777777776,0.19444444444444445,0.375,36,1.0,False
truthfulqa_real,gemini-2.5-flash,selfcheckgpt,0.4444444444444444,0.4166666666666667,0.027777777777777776,-0.05555555555555555,0.1111111111111111,1.0,36,1.0,False
truthfulqa_real,gpt-oss-20b,direct,0.7222222222222222,0.6388888888888888,0.08333333333333333,0.0,0.16666666666666666,0.25,36,1.0,False
truthfulqa_real,gpt-oss-20b,react,0.7222222222222222,0.7222222222222222,0.0,-0.16666666666666666,0.1388888888888889,1.0,36,1.0,False
truthfulqa_real,gpt-oss-20b,self_refine,0.7222222222222222,0.6944444444444444,0.027777777777777776,-0.08333333333333333,0.1388888888888889,1.0,36,1.0,False
truthfulqa_real,gpt-oss-20b,reflexion,0.7222222222222222,0.9166666666666666,-0.19444444444444445,-0.3333333333333333,-0.05555555555555555,0.0390625,36,1.0,False
truthfulqa_real,gpt-oss-20b,full_regen,0.7222222222222222,0.7222222222222222,0.0,-0.1388888888888889,0.1388888888888889,1.0,36,1.0,False
truthfulqa_real,gpt-oss-20b,tot,0.8,0.6666666666666666,0.13333333333333333,0.0,0.3333333333333333,0.5,15,1.0,False
truthfulqa_real,gpt-oss-20b,selfcheckgpt,0.7407407407407407,0.6666666666666666,0.07407407407407407,0.0,0.18518518518518517,0.5,27,1.0,False
truthfulqa_real,llama-3.1-8b,direct,0.9444444444444444,0.8055555555555556,0.1388888888888889,0.027777777777777776,0.25,0.0625,36,1.0,False
truthfulqa_real,llama-3.1-8b,react,0.9444444444444444,0.7222222222222222,0.2222222222222222,0.08333333333333333,0.3611111111111111,0.0078125,36,1.0,False
truthfulqa_real,llama-3.1-8b,self_refine,0.9444444444444444,0.6111111111111112,0.3333333333333333,0.19444444444444445,0.5,0.00048828125,36,0.14697265625,False
truthfulqa_real,llama-3.1-8b,reflexion,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,1.0,36,1.0,False
truthfulqa_real,llama-3.1-8b,full_regen,0.9444444444444444,0.8611111111111112,0.08333333333333333,0.0,0.19444444444444445,0.25,36,1.0,False
truthfulqa_real,llama-3.1-8b,tot,0.9444444444444444,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.3055555555555556,0.03125,36,1.0,False
truthfulqa_real,llama-3.1-8b,selfcheckgpt,0.9444444444444444,0.9166666666666666,0.027777777777777776,0.0,0.08333333333333333,1.0,36,1.0,False
truthfulqa_real,llama-3.3-70b,direct,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,36,1.0,False
truthfulqa_real,llama-3.3-70b,react,0.8333333333333334,0.75,0.08333333333333333,0.0,0.19444444444444445,0.25,36,1.0,False
truthfulqa_real,llama-3.3-70b,self_refine,0.8333333333333334,0.6111111111111112,0.2222222222222222,0.08333333333333333,0.3611111111111111,0.0078125,36,1.0,False
truthfulqa_real,llama-3.3-70b,reflexion,0.8333333333333334,0.9166666666666666,-0.08333333333333333,-0.19444444444444445,0.0,0.25,36,1.0,False
truthfulqa_real,llama-3.3-70b,full_regen,0.8333333333333334,0.8055555555555556,0.027777777777777776,0.0,0.08333333333333333,1.0,36,1.0,False
truthfulqa_real,llama-3.3-70b,tot,0.8333333333333334,0.8055555555555556,0.027777777777777776,-0.1111111111111111,0.16666666666666666,1.0,36,1.0,False
truthfulqa_real,llama-3.3-70b,selfcheckgpt,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,36,1.0,False
truthfulqa_real,mistral-nemo-12b,direct,0.8611111111111112,0.6388888888888888,0.2222222222222222,0.08333333333333333,0.3611111111111111,0.0078125,36,1.0,False
truthfulqa_real,mistral-nemo-12b,react,0.8611111111111112,0.6388888888888888,0.2222222222222222,0.08333333333333333,0.3888888888888889,0.021484375,36,1.0,False
truthfulqa_real,mistral-nemo-12b,self_refine,0.8611111111111112,0.6111111111111112,0.25,0.08333333333333333,0.4166666666666667,0.01171875,36,1.0,False
