,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_musique_00000_3hop1__617062_127905_80487,42,,True,True,True,False,True,True,True,True,1945.0,3890.0,4649.0,3943.0,1945.0,4495.0,11425.0,85671.0,447.0,821.0,1139.0,791.0,447.0,1070.0,685.0,2516.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
real_musique_00001_3hop1__132968_40769_64047,42,a4,False,True,False,False,False,False,True,False,1682.0,3364.0,3913.0,3417.0,10618.0,3759.0,11422.0,76292.0,294.0,729.0,526.0,720.0,1304.0,738.0,513.0,2819.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
real_musique_00002_3hop2__36852_326964_7713,42,,True,True,True,True,True,False,True,,1719.0,3438.0,3877.0,3491.0,1719.0,3723.0,11757.0,,233.0,618.0,567.0,823.0,233.0,789.0,510.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
real_musique_00003_3hop1__813285_774554_64412,42,,True,True,True,True,True,True,True,,1887.0,3774.0,4414.0,3862.0,1887.0,4260.0,11020.0,,356.0,647.0,898.0,954.0,356.0,877.0,531.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_musique_00004_3hop2__92991_28727_76291,42,,True,True,True,False,True,True,False,True,1543.0,3086.0,3548.0,3139.0,1543.0,3394.0,10593.0,69916.0,236.0,543.0,540.0,770.0,236.0,812.0,610.0,2896.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
real_musique_00005_3hop1__446612_160545_60577,42,,True,False,True,False,True,True,False,True,1714.0,3428.0,3896.0,3481.0,1714.0,3742.0,11672.0,76278.0,240.0,716.0,541.0,704.0,240.0,711.0,480.0,2340.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
real_musique_00006_3hop2__57233_106716_56883,42,,True,True,True,True,True,False,True,,1658.0,3316.0,3964.0,3369.0,1658.0,3810.0,9438.0,,337.0,644.0,820.0,756.0,337.0,940.0,488.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
real_musique_00007_3hop1__313670_42197_18397,42,a2,False,True,True,True,True,False,True,,1737.0,3474.0,3961.0,3527.0,5905.0,3807.0,11949.0,,260.0,741.0,749.0,965.0,727.0,666.0,419.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
real_musique_00008_3hop1__639955_834494_34109,42,,True,True,True,True,True,True,True,True,1933.0,3866.0,4413.0,3919.0,1933.0,4259.0,11322.0,85258.0,291.0,632.0,712.0,913.0,291.0,684.0,508.0,2122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00009_3hop1__312146_720914_27537,42,,True,True,True,True,True,True,True,,1787.0,3574.0,4207.0,3627.0,1787.0,4053.0,10438.0,,321.0,473.0,686.0,923.0,321.0,795.0,521.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_musique_00010_3hop1__24980_42197_18397,42,,True,True,True,True,True,True,False,,1755.0,3510.0,4012.0,3563.0,1755.0,3858.0,11851.0,,248.0,538.0,587.0,701.0,248.0,654.0,412.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
real_musique_00011_3hop2__88342_93066_47738,42,,True,True,True,False,True,True,True,,1871.0,3742.0,4375.0,3795.0,1871.0,4221.0,10862.0,,351.0,631.0,703.0,750.0,351.0,851.0,457.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
real_musique_00012_3hop1__567955_503371_21711,42,,True,True,True,True,True,True,True,,1740.0,3480.0,3832.0,3533.0,1740.0,3678.0,11852.0,,152.0,615.0,374.0,551.0,152.0,566.0,418.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_musique_00013_3hop1__662618_339990_54675,42,,True,True,True,True,True,True,True,True,1653.0,3306.0,4173.0,3359.0,1653.0,4019.0,9686.0,73350.0,499.0,850.0,1113.0,1041.0,499.0,1231.0,781.0,2772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00014_3hop1__145212_443779_52195,42,,True,True,True,True,True,False,True,True,1899.0,3833.0,4477.0,3851.0,1899.0,4323.0,11012.0,83983.0,367.0,840.0,1024.0,888.0,367.0,1035.0,466.0,2394.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
real_musique_00015_3hop1__337705_132457_47686,42,a4,False,False,True,True,False,False,False,,1561.0,3122.0,3706.0,3175.0,10052.0,3552.0,10564.0,,300.0,534.0,748.0,650.0,1287.0,684.0,460.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,
real_musique_00016_3hop1__545624_2053_52946,42,,True,False,True,True,True,True,False,True,1893.0,3786.0,4507.0,3839.0,1893.0,4353.0,12969.0,83172.0,383.0,769.0,1134.0,1051.0,383.0,1007.0,693.0,2272.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
real_musique_00017_3hop1__108833_720914_27537,42,,True,False,True,True,True,True,True,,1654.0,3308.0,3698.0,3361.0,1654.0,3544.0,11309.0,,162.0,425.0,515.0,631.0,162.0,645.0,451.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
real_musique_00018_3hop1__527372_339990_54675,42,,True,False,True,True,True,False,True,,1658.0,3316.0,3907.0,3369.0,1658.0,3753.0,11389.0,,307.0,675.0,643.0,787.0,307.0,761.0,650.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
real_musique_00019_3hop1__365934_87694_64412,42,,True,True,True,True,True,True,True,True,2105.0,4210.0,4737.0,4263.0,2105.0,4583.0,12349.0,93552.0,244.0,486.0,668.0,717.0,244.0,547.0,453.0,2322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
