Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=llama-3.3-70b provider=together model_id=meta-llama/Llama-3.3-70B-Instruct-Turbo)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=llama-3.3-70b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2362,278)
  model=llama-3.3-70b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2362,638)
  model=llama-3.3-70b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2362,399)
  model=llama-3.3-70b N=2 arm=direct real_lme_00001_603deb26 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2446,398)
  model=llama-3.3-70b N=2 arm=direct real_lme_00001_603deb26 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2446,323)
  model=llama-3.3-70b N=2 arm=direct real_lme_00001_603deb26 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2446,411)
  model=llama-3.3-70b N=2 arm=direct real_lme_00002_51c32626 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2119,331)
  model=llama-3.3-70b N=2 arm=direct real_lme_00002_51c32626 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2119,330)
  model=llama-3.3-70b N=2 arm=direct real_lme_00002_51c32626 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2119,319)
  model=llama-3.3-70b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2131,255)
  model=llama-3.3-70b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2131,249)
  model=llama-3.3-70b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2131,224)
  model=llama-3.3-70b N=2 arm=direct real_lme_00005_2698e78f_abs seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2101,235)
  model=llama-3.3-70b N=2 arm=direct real_lme_00005_2698e78f_abs seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2101,335)
  model=llama-3.3-70b N=2 arm=direct real_lme_00005_2698e78f_abs seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2101,243)
  model=llama-3.3-70b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2235,432)
  model=llama-3.3-70b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2235,414)
  model=llama-3.3-70b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2235,622)
  model=llama-3.3-70b N=2 arm=direct real_lme_00007_5025383b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2014,268)
  model=llama-3.3-70b N=2 arm=direct real_lme_00007_5025383b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2014,269)
  model=llama-3.3-70b N=2 arm=direct real_lme_00007_5025383b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2014,257)
  model=llama-3.3-70b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,292)
  model=llama-3.3-70b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,370)
  model=llama-3.3-70b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,343)
  model=llama-3.3-70b N=2 arm=direct real_lme_00009_c19f7a0b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,443)
  model=llama-3.3-70b N=2 arm=direct real_lme_00009_c19f7a0b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,401)
  model=llama-3.3-70b N=2 arm=direct real_lme_00009_c19f7a0b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,349)
  model=llama-3.3-70b N=2 arm=direct real_lme_00010_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2620,340)
  model=llama-3.3-70b N=2 arm=direct real_lme_00010_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2620,347)
  model=llama-3.3-70b N=2 arm=direct real_lme_00010_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2620,325)
  model=llama-3.3-70b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2349,244)
  model=llama-3.3-70b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2349,313)
  model=llama-3.3-70b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2349,312)
  model=llama-3.3-70b N=2 arm=direct real_lme_00012_d6233ab6 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2519,324)
  model=llama-3.3-70b N=2 arm=direct real_lme_00012_d6233ab6 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2519,343)
  model=llama-3.3-70b N=2 arm=direct real_lme_00012_d6233ab6 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2519,337)
  model=llama-3.3-70b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2140,262)
  model=llama-3.3-70b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2140,262)
  model=llama-3.3-70b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2140,300)
  model=llama-3.3-70b N=2 arm=direct real_lme_00016_f8c5f88b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2272,287)
  model=llama-3.3-70b N=2 arm=direct real_lme_00016_f8c5f88b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2272,308)
  model=llama-3.3-70b N=2 arm=direct real_lme_00016_f8c5f88b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2272,266)
  model=llama-3.3-70b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2373,328)
  model=llama-3.3-70b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2373,319)
  model=llama-3.3-70b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2373,352)
  model=llama-3.3-70b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2310,268)
  model=llama-3.3-70b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2310,268)
  model=llama-3.3-70b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2310,312)
  model=llama-3.3-70b N=2 arm=direct real_lme_00021_e56a43b9 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2355,286)
  model=llama-3.3-70b N=2 arm=direct real_lme_00021_e56a43b9 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2355,305)
  model=llama-3.3-70b N=2 arm=direct real_lme_00021_e56a43b9 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2355,467)
  model=llama-3.3-70b N=2 arm=direct real_lme_00022_6cb6f249 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2046,412)
  model=llama-3.3-70b N=2 arm=direct real_lme_00022_6cb6f249 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2046,326)
  model=llama-3.3-70b N=2 arm=direct real_lme_00022_6cb6f249 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2046,412)
  model=llama-3.3-70b N=2 arm=direct real_lme_00023_e48988bc seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(1747,213)
  model=llama-3.3-70b N=2 arm=direct real_lme_00023_e48988bc seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(1747,212)
  model=llama-3.3-70b N=2 arm=direct real_lme_00023_e48988bc seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(1747,212)
  model=llama-3.3-70b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2124,638)
  model=llama-3.3-70b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2124,411)
  model=llama-3.3-70b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2124,758)
  model=llama-3.3-70b N=2 arm=direct real_lme_00027_21d02d0d seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2274,328)
  model=llama-3.3-70b N=2 arm=direct real_lme_00027_21d02d0d seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2274,449)
  model=llama-3.3-70b N=2 arm=direct real_lme_00027_21d02d0d seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2274,271)
  model=llama-3.3-70b N=2 arm=direct real_lme_00028_1f2b8d4f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2202,290)
  model=llama-3.3-70b N=2 arm=direct real_lme_00028_1f2b8d4f seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2202,389)
  model=llama-3.3-70b N=2 arm=direct real_lme_00028_1f2b8d4f seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2202,289)
  model=llama-3.3-70b N=2 arm=direct real_lme_00029_a11281a2 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2218,352)
  model=llama-3.3-70b N=2 arm=direct real_lme_00029_a11281a2 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2218,396)
  model=llama-3.3-70b N=2 arm=direct real_lme_00029_a11281a2 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2218,432)
  model=llama-3.3-70b N=2 arm=direct real_lme_00030_1de5cff2 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1913,380)
  model=llama-3.3-70b N=2 arm=direct real_lme_00030_1de5cff2 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1913,375)
  model=llama-3.3-70b N=2 arm=direct real_lme_00030_1de5cff2 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1913,378)
