,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_musique_00000_3hop1__617062_127905_80487,42,,True,True,True,True,True,True,True,False,1866,3732,4410,3785,1866,4256,10883,83938,422,974,883,1056,422,1286,569,3783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_musique_00001_3hop1__132968_40769_64047,42,a1,False,False,True,False,True,True,False,False,1617,3234,3802,3287,5726,3648,9192,32687,298,660,498,885,389,826,358,1911,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
real_musique_00002_3hop2__36852_326964_7713,42,,True,True,True,True,True,True,False,True,1686,3372,3938,3425,1686,3784,11465,54966,296,689,644,785,296,863,535,2610,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
real_musique_00003_3hop1__813285_774554_64412,42,,True,True,True,True,True,True,False,False,1828,3656,4335,3709,1828,4181,12361,36579,353,840,716,816,353,1056,496,1674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
real_musique_00004_3hop2__92991_28727_76291,42,,True,True,True,True,True,True,False,True,1518,3036,3623,3089,1518,3469,10332,68499,317,646,642,893,317,866,605,3707,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
real_musique_00005_3hop1__446612_160545_60577,42,,True,True,True,True,True,True,True,True,1655,3310,3868,3363,1655,3714,9568,73724,288,705,668,787,288,975,389,3452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00006_3hop2__57233_106716_56883,42,,True,True,True,True,True,True,True,True,1620,3240,3979,3293,1620,3825,9210,72745,385,700,898,824,385,1077,462,3106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00007_3hop1__313670_42197_18397,42,,True,True,True,True,True,True,True,True,1693,3386,3909,3439,1693,3755,9796,55588,253,560,711,748,253,806,369,2777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00008_3hop1__639955_834494_34109,42,,True,True,True,True,True,True,True,True,1891,3782,4391,3835,1891,4237,11072,14966,340,825,782,867,340,914,528,712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00009_3hop1__312146_720914_27537,42,,True,True,True,True,True,True,False,True,1741,3482,4252,3535,1741,4098,11823,78032,416,1079,708,1024,416,1127,621,3094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
real_musique_00010_3hop1__24980_42197_18397,42,,True,True,True,True,True,True,False,True,1731,3462,3970,3515,1731,3816,11688,34757,238,487,673,654,238,668,371,1493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
real_musique_00011_3hop2__88342_93066_47738,42,,True,True,True,True,True,True,False,False,1804,3608,4577,3661,1804,4423,12196,81412,629,1332,880,1404,629,1545,883,4262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
real_musique_00012_3hop1__567955_503371_21711,42,,True,True,True,True,True,True,False,False,1701,3402,4325,3455,1701,4171,11543,54666,569,945,1143,1124,569,1215,831,2819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
real_musique_00013_3hop1__662618_339990_54675,42,a2,False,True,True,False,True,True,False,False,1616,3232,4167,3285,6450,4013,11213,72759,553,1205,874,1234,637,1055,1030,4128,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
real_musique_00014_3hop1__145212_443779_52195,42,,True,True,True,True,True,True,True,True,1760,3520,4298,3573,1760,4144,10198,56733,480,934,923,1010,480,1243,578,2644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00015_3hop1__337705_132457_47686,42,,True,True,True,True,True,True,True,True,1513,3026,3772,3079,1513,3618,8709,47815,392,835,751,990,392,691,499,1495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00016_3hop1__545624_2053_52946,42,a2,False,True,True,False,True,True,False,False,1835,3670,4356,3723,6609,4202,10500,82688,389,701,728,899,473,1035,444,3770,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
real_musique_00017_3hop1__108833_720914_27537,42,,True,True,True,True,True,True,True,True,1624,3248,3904,3301,1624,3750,9234,73658,330,719,743,809,330,812,436,3422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00018_3hop1__527372_339990_54675,42,,True,True,True,False,True,True,True,True,1610,3220,4086,3273,1610,3932,9411,71997,484,1022,811,933,484,1367,670,3498,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
real_musique_00019_3hop1__365934_87694_64412,42,,True,True,True,True,True,False,False,True,2006,4012,4557,4065,2006,4403,13610,39840,275,555,753,719,275,725,402,1251,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
real_musique_00020_3hop2__132957_379231_40768,42,,True,True,True,False,True,True,True,False,1798,3596,4450,3649,1798,4296,10313,81499,556,967,1028,1148,556,1314,979,3704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
real_musique_00021_3hop1__438364_443779_52195,42,,True,True,True,True,True,True,True,True,1511,3022,3631,3075,1511,3477,8794,68930,353,755,729,908,353,1069,545,4178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00022_3hop1__539312_744503_34754,42,,True,True,True,True,True,True,True,False,1710,3420,4238,3473,1710,4084,9982,55632,493,1057,1058,1151,493,1462,691,2891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_musique_00023_3hop1__133292_40769_64047,42,,True,True,True,True,True,True,True,False,1940,3880,4504,3933,1940,4350,11432,88575,368,808,768,859,368,1093,619,3573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
