model,task_id,seed,profile_and_question,expected_gold,agent_final_output,repair_status,fault_node_predicted,top_posterior,posterior_concentration,_category_assigned_by_user,_user_notes
DeepSeek V3,pfqa_recon_00081,0,"profile_required | profile: User is omnivore; User prefers responses in French; User works as a artist; User's fitness level is high; User's age range is 51-65; User is currently in Mumbai, India | Q: Recommend a single dish for the user's lunch today.",,Chicken Kolhapuri,repair_failed,a2,1.0,1.0,,
DeepSeek V3,pfqa_recon_00088,0,"factual_irrelevant | profile: User is omnivore; User prefers responses in Spanish; User works as a doctor; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: What is the capital of France?",,La capital de Francia es París.,repair_failed,a2,0.8,0.6,,
DeepSeek V3,pfqa_recon_00091,0,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,"Given your high fitness level, I recommend high-intensity interval training (HIIT). This includes exercises like sprinting, burpees, and jump squats in short, intense bursts followed by brief rest periods. It's effective for improving cardiovascular health and endurance.",repair_failed,a4,1.0,1.0,,
DeepSeek V3,pfqa_recon_00081,1,"profile_required | profile: User is omnivore; User prefers responses in French; User works as a artist; User's fitness level is high; User's age range is 51-65; User is currently in Mumbai, India | Q: Recommend a single dish for the user's lunch today.",,,repair_failed,a3,1.0,1.0,,
DeepSeek V3,pfqa_recon_00081,2,"profile_required | profile: User is omnivore; User prefers responses in French; User works as a artist; User's fitness level is high; User's age range is 51-65; User is currently in Mumbai, India | Q: Recommend a single dish for the user's lunch today.",,"Je recommande un curry de lentilles pour votre déjeuner. C'est végétalien, riche en protéines et en nutriments, et énergisant pour votre niveau d'activité élevé en tant qu'infirmière.",repair_failed,a3,0.75,0.5,,
DeepSeek V3,pfqa_recon_00091,2,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,Recomendo um frango salteado com legumes para o seu almoço hoje.,repair_failed,a0,1.0,1.0,,
DeepSeek V3,pfqa_recon_00099,2,"profile_required | profile: User is omnivore; User prefers responses in Mandarin; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Tokyo, Japan | Q: In which language should I write the response so it suits the user?",,"I recommend a modified high-intensity interval training (HIIT) workout with lower impact exercises suitable for your age group, such as cycling, swimming, or bodyweight circuits with adequate rest intervals.",repair_failed,a1,0.667,0.333,,
Mistral Nemo 12B,pfqa_recon_00080,0,"factual_irrelevant | profile: User is pescatarian; User prefers responses in Mandarin; User works as a artist; User's fitness level is high; User's age range is 51-65; User is currently in London, United Kingdom | Q: What is the chemical symbol for sodium?",,钠,repair_failed,a5,0.5,,,
Mistral Nemo 12B,pfqa_recon_00088,0,"factual_irrelevant | profile: User is omnivore; User prefers responses in Spanish; User works as a doctor; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: What is the capital of France?",,The capital of France is Paris.,repair_failed,a1,1.0,1.0,,
Mistral Nemo 12B,pfqa_recon_00091,0,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,HIIT Vegan Workout,repair_failed,a1,0.87,0.739,,
