Building 60 4-fault (3 hop + 1 profile) musique_real hop examples (bench_seed=42, scan_limit=760)...
Built 60 examples. seeds=[0, 1, 2], model=llama-3.3-70b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(1705,356)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3882,908)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3410,922)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3463,919)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(9868,457)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(1705,356)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(4036,614)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1705,226)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3753,734)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3410,553)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3463,725)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(9868,327)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1705,226)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3907,601)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1705,226)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3753,678)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3410,829)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3463,766)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(9868,327)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1705,226)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3907,601)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(1842,397)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4226,1084)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(3684,832)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(3737,1043)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(10871,672)
